,,,,,
,,Thousands of euros,,Years,
,,Face,Initial fair,Repayment,Grace
Entity,Project,value,value,period,period
Technological Corporation of Andalusia,(1),105,67,10,4
Industrial Technological Development Centre,(1),160,134,8,4
Technological Corporation of Andalusia,(1),174,144,10,4
Technological Corporation of Andalusia,(1),30,25,10,4
Technological Corporation of Andalusia,(2),152,122,10,4
Technological Corporation of Andalusia,(2),82,66,10,4
Technological Corporation of Andalusia,(2),94,79,10,4
,,797,637,,
